Price,Close,High,Low,Open,Volume
Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA
Date,,,,,
2020-12-09,24.892436981201172,25.055452134409222,24.68866846721577,24.770175188770473,34741960
2020-12-10,25.71566390991211,25.854226357885757,25.0717536491895,25.0717536491895,55520190
2020-12-11,25.511890411376953,25.658604880436002,25.112503778541353,25.405931006561087,26405500
2020-12-14,25.169557571411133,25.78086467712633,25.169557571411133,25.650452585778993,29425330
2020-12-15,25.397781372070312,25.593399529431228,25.169560188482574,25.169560188482574,27559180
2020-12-16,25.878677368164062,26.2291603402456,25.283672545626935,25.46298834128124,45328690
2020-12-17,25.84607696533203,26.20471030315693,25.731967212891615,25.99279145858245,19647650
2020-12-18,25.805316925048828,26.180252536230824,25.68305516400268,25.854220603408365,34885510
2020-12-21,25.348880767822266,25.67491109169994,25.19401764655442,25.30812740486224,25809080
2020-12-22,25.471139907836914,25.79717019767988,25.389631480326894,25.40593384986832,21624900
2020-12-23,26.033536911010742,26.123193935657078,25.487435884964796,25.528189233449325,21955120
2020-12-28,26.221004486083984,26.432923264487076,26.090592403959587,26.26175783422333,16989060
2020-12-29,26.16396141052246,26.400332996022197,26.025397223761498,26.302523887184485,18022620
2020-12-30,25.780866622924805,26.351420420680792,25.780866622924805,26.24545930589004,28208840
2021-01-04,25.185863494873047,26.074297335547666,25.136959805439737,26.066147005658546,34482580
2021-01-05,25.022844314575195,25.31627153418983,24.59085466877823,25.047297010400996,31074780
2021-01-06,25.75641441345215,26.131350066512557,25.09620356621787,25.251066656735663,47368090
2021-01-07,26.758955001831055,26.946422808142515,25.67490322453309,25.797164986049104,50742780
2021-01-08,26.75081443786621,27.256162324533197,26.432934425936907,26.84047320971017,57785750
2021-01-11,26.147655487060547,26.653003335823144,25.854228200388345,26.46553547514678,34720730
2021-01-12,26.229169845581055,26.449240787812755,26.09875768871769,26.229169845581055,36398230
2021-01-13,25.797168731689453,26.51443703868192,25.479288789632264,26.22916012375628,46994860
2021-01-14,26.563335418701172,26.848612276647028,25.813465944450826,26.098742802396682,31044750
2021-01-15,25.5607967376709,26.400325098237015,25.552646408564037,26.12319851771779,41532810
2021-01-18,25.43038558959961,26.025390418587843,25.38148019291917,25.80532126382134,20815080
2021-01-19,25.128808975219727,25.764568939150074,24.900587756647056,25.666759845476072,29926600
2021-01-20,24.713123321533203,25.348881619403233,24.541956113173107,25.308128255074124,31891750
2021-01-21,24.37893295288086,24.82722494382045,24.16701244967191,24.713115219091193,38138760
2021-01-22,23.8572940826416,24.02030926148568,23.6209207907435,23.840991709707737,40481760
2021-01-26,23.06543731689453,24.371797131447995,22.975624651385452,23.669629587642564,56092080
2021-01-27,23.06543731689453,23.669629587642564,22.747011683838597,22.951129976604047,47267770
2021-01-28,23.99622344970703,24.192177453806394,23.049110716859044,23.09810007440108,57231020
2021-01-29,23.1389217376709,24.126857722268,23.09809841800296,23.85742141421164,50940670
2021-02-01,23.74311065673828,24.02071295932409,23.465508354152472,23.677792669427976,51004800
2021-02-02,23.236896514892578,23.92273541459924,22.861317213298065,23.743111797383598,110360580
2021-02-03,23.122587203979492,23.596141702760352,23.03277455316456,23.48183609420539,45582460
2021-02-04,23.024616241455078,23.318548963234704,22.76334423368155,23.294054284247334,72000060
2021-02-05,22.9266357421875,23.22873273988112,22.771506796005212,23.11442539739507,43223290
2021-02-08,22.502071380615234,23.024615376532868,22.461248059192755,22.86132037780861,31831250
2021-02-09,22.77151107788086,23.19607810559974,22.232636686181973,22.444921056558645,41532370
